filename,web_path,size,width,height,sha256,referenced_by_common_css,present_by_name_in_complete_zip,present_by_name_in_callgraph_zip,exact_hash_in_apk
gacha_badge.png,/magica/resource/image_web/common/global/gacha_badge.png,3094,104,46,241996f84c4633d5847465dc86110d2fc305a0c1499a89d14324fea6fb1d9365,false,false,false,false
gacha_badge_a.png,/magica/resource/image_web/common/global/gacha_badge_a.png,2780,104,46,fd935c9a324a22464650bc39c9ad9ff13ccad4524ab7c2f8a46ae3645ef0f2bf,false,false,false,false
global_back.png,/magica/resource/image_web/common/global/global_back.png,5693,178,85,b83a77dfc7f0d439ac7df14a80b217053a19518e9c192c5fbc33962909a22371,true,false,false,false
global_battle.png,/magica/resource/image_web/common/global/global_battle.png,41979,352,382,b1d683d410bc88201018ad4e598f01836098cf0c25fcd237a107d7c547a4629a,true,false,false,false
global_gacha.png,/magica/resource/image_web/common/global/global_gacha.png,19766,208,246,51c2fb4b86311fcc8563db8c892cb9247f5c2ef1283ab842c34f1200825566df,true,false,false,false
global_memoria.png,/magica/resource/image_web/common/global/global_memoria.png,20574,208,246,7d88a8651a0a4e740cdfeafe561af059da8ed730e159e09e24f6a7da80471996,true,false,false,false
global_mission.png,/magica/resource/image_web/common/global/global_mission.png,18893,208,246,abb50f23a560857867ec6d5f88a639f2892031339ce0056abccf973474b0e6f8,true,false,false,false
global_quest.png,/magica/resource/image_web/common/global/global_quest.png,39385,352,382,43761b1e72b08c949c1dc221c31dd33fecba5ebc6158a963f274ef65b390a648,true,false,false,false
global_shop.png,/magica/resource/image_web/common/global/global_shop.png,20041,208,220,3620541a5f5e41951ae2bda6d6c0d033702197486acad65741479ab3dabdbcd4,true,false,false,false
global_team.png,/magica/resource/image_web/common/global/global_team.png,41686,352,382,c6f48b56ab1e809e337c95225d01a808542bc6227a8f2b3e128b6d1dc2a5694c,true,false,false,false
global_unit.png,/magica/resource/image_web/common/global/global_unit.png,19090,208,246,e9b9a5cc8091b06a20b8a6d6c5fc59aafc97f9525e6c858d93b4b75a25d87263,true,false,false,false
