path	media_type	source_group	authority	method	evidence	bytes	width	height
magica/resource/image_web/page/chara/tree/title_emotion_01.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/chara/tree/title_emotion_01.png	2439	230	27
magica/resource/image_web/page/chara/tree/title_emotion_02.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/chara/tree/title_emotion_02.png	2711	265	31
magica/resource/image_web/page/collection/archive_base.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0101	4756	348	348
magica/resource/image_web/page/collection/btn_collection_chara.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0102	6522	114	132
magica/resource/image_web/page/collection/btn_collection_doppel.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0103	7040	114	132
magica/resource/image_web/page/collection/btn_collection_memoria.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0104	6638	114	132
magica/resource/image_web/page/collection/btn_collection_story.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0105	6826	114	132
magica/resource/image_web/page/collection/btn_collection_witch.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0106	7061	114	132
magica/resource/image_web/page/collection/btn_doppel_back.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0107	2932	90	44
magica/resource/image_web/page/collection/header.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0108	1412	256	52
magica/resource/image_web/page/collection/magirepo/common/chara_r.png	png	official-cn-gap-direct	official-cn-legacy-client-image	copy-official-cn-same-path	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay-round2/overlay_manifest.json#SOURCE-IMG-0109	7045	246	116
magica/resource/image_web/page/collection/magirepo/common/tab_magirepo.png	png	official-cn-same-path	official-cn-legacy-client	copy-official-cn-same-path-same-geometry	magica/research/totentanz-full-localization-20260817/official-cn-image-overlay/overlay_manifest.json#page/collection/magirepo/common/tab_magirepo.png	4767	186	60
magica/resource/image_web/page/collection/magirepo/common/tag_part1.png	png	official-cn-dynamic-batch-a	official-cn	copy	dynamic_image_recovery_audit_20260819/dynamic_image_product_patch_manifest.json#15	950	78	34
magica/resource/image_web/page/collection/magirepo/common/tag_part2.png	png	official-cn-dynamic-batch-a	official-cn	copy	dynamic_image_recovery_audit_20260819/dynamic_image_product_patch_manifest.json#16	957	78	34
magica/resource/image_web/page/collection/magirepo/img/part1/magirepo_01_001.png	png	official-cn-dynamic-batch-a	official-cn	copy	dynamic_image_recovery_audit_20260819/dynamic_image_product_patch_manifest.json#17	264158	1024	1456
