path,category,extension,status,current_size,old_size,current_sha256,old_sha256,current_encoding,current_lines,current_chars,current_kana,current_cjk,current_simplified_hints,old_encoding,old_lines,old_chars,old_kana,old_cjk,old_simplified_hints,text_similarity
js/event/EventArenaRankMatch/Top.js,js,.js,current_only,7006,,f5fd06ea613f2fa1c254e15e4a5f5d719c6cf84efa773562752943cfcb01496c,,utf-8-sig,264,7006,0,0,0,,,,,,,
js/quest/puellaHistoria/lastBattle/GroupRaid.js,js,.js,current_only,7537,,a8a499bb6cc9fb75cdb68cf16a03eaae4d58e11e35f95ee86131e38bde052d52,,utf-8-sig,305,7485,20,6,1,,,,,,,
js/quest/puellaHistoria/lastBattle/QuestResultMainBoss.js,js,.js,current_only,6825,,dfe4e8589c871a83357b9635b2e9d075f0cbea09b23823ee89f6ad291f095d2d,,utf-8-sig,271,6825,0,0,0,,,,,,,
js/quest/puellaHistoria/lastBattle/QuestResultSubBoss.js,js,.js,current_only,6496,,903b1456a2c9b4f615767bb5bcdbefac697c51e77bc118d85a416a5f7d6f0f0d,,utf-8-sig,259,6496,0,0,0,,,,,,,
js/quest/puellaHistoria/lastBattle/Router.js,js,.js,current_only,956,,09e65f9245c8ca9e1b8dec2e44c77b422ddf5b49a9cb84db81539f930ea86ed8,,utf-8-sig,46,956,0,0,0,,,,,,,
js/test/BackdoorQuestBattle.js,js,.js,current_only,8798,,a3125f31342ef5467268dd5d813eea98d562e048241174991219bd284693fa08,,utf-8-sig,300,8754,13,8,0,,,,,,,
js/test/DeleteDataTest.js,js,.js,current_only,2655,,af69807762323ef852a04a4b1f1f9a25eb7d3e5ed3d2c37624bb7c5f5b29a53e,,utf-8-sig,116,2647,0,0,0,,,,,,,
js/test/EventWitchIconTest.js,js,.js,current_only,4380,,f45e0701a5886c11386608c6f7a827be0e7594190f848a927db3dcb358a10f45,,utf-8-sig,212,4380,0,0,0,,,,,,,
js/test/MailSendTest.js,js,.js,current_only,2661,,a0b85dad4d0131147e226b42ea61cd1d7348c9bda14151fcfdec2f07a0992a3f,,utf-8-sig,111,2469,65,29,2,,,,,,,
js/test/SdCharaTest.js,js,.js,current_only,5113,,d753f4812de10d1710d67d0e6582e4c33fadab7a1265c96484cb376942a8a2cf,,utf-8-sig,183,5093,10,0,0,,,,,,,
js/test/ShopReworkTest.js,js,.js,current_only,3785,,adcfd9c7d0b52496e583d55be42e9c564b304931d4f60d36e659607fb02fe6ab,,utf-8-sig,118,3785,0,0,0,,,,,,,
js/test/SubSecondTest.js,js,.js,current_only,1497,,2e90d5ec047ba869d025d11078f93c4adcb4aa1da33d0d00c993891ce6b9a3d3,,utf-8-sig,81,1497,0,0,0,,,,,,,
template/campaign/newyear_login/NewYearLogin.html,template,.html,current_only,3085,,f79116be9f5939f6aeeddb17e38ee06719f4377f7db70e3995c720f0955f373d,,utf-8-sig,75,3000,7,33,1,,,,,,,
template/campaign/sumo/CampaignSumoCharaSelect.html,template,.html,current_only,720,,3c65cdc7d483f1937c1113671051f99e08f05f635adb74d3f31e4c81aac4be13,,utf-8-sig,12,720,0,0,0,,,,,,,
template/campaign/sumo/CampaignSumoMain.html,template,.html,current_only,3026,,c37c4a5cb939a1bfe9d4a4139a6468c53e1c315f6da1e3185f47aa0f810a5446,,utf-8-sig,60,3018,0,0,0,,,,,,,
template/campaign/sumo/CampaignSumoTop.html,template,.html,current_only,551,,33a00c1c7e244014b9af671e7229132b4c322711fc0263eb64b0d11c765eb921,,utf-8-sig,14,551,0,0,0,,,,,,,
template/event/EventArenaRankMatch/Result.html,template,.html,current_only,6130,,44e2120791886ccd0c5a9aac0e55a158d16add4fffee2fd94091065e18de145f,,utf-8-sig,83,6069,25,5,0,,,,,,,
template/event/EventArenaRankMatch/Top.html,template,.html,current_only,4236,,eefcbf672e567d2d3458e5c757a6cf3bb23d14b21441bcb92047fc4f5dc5086e,,utf-8-sig,78,4080,46,32,3,,,,,,,
template/quest/puellaHistoria/lastBattle/GroupRaid.html,template,.html,current_only,1037,,aade3f2677f8c323e8db3a2bc1a0bef392f1a5ba6874d5e21bd7864929312d23,,utf-8-sig,26,989,18,6,0,,,,,,,
template/quest/puellaHistoria/lastBattle/QuestResultMainBoss.html,template,.html,current_only,2802,,d5f651f80ceaefcb5ed49e1b382b768d9582175351eeb19d75978e4b1caff4c3,,utf-8-sig,44,2794,0,4,0,,,,,,,
template/quest/puellaHistoria/lastBattle/QuestResultSubBoss.html,template,.html,current_only,2900,,3f240fad5c45411f5973f9830d9ce0952798d9db7fc1521cd68b2fa190d4635b,,utf-8-sig,52,2833,23,10,0,,,,,,,
template/test/DeleteDataTest.html,template,.html,current_only,623,,7ad26aac060e2a685cbd9a4898410189ce86e4cde0437380e7f2c6c8392989e4,,utf-8-sig,9,599,0,0,0,,,,,,,
template/test/EventWitchIconTest.html,template,.html,current_only,283,,9e6b04a3d9db9e96cfc04e00e36c018d7acaf39f073415f6d16b4678723368eb,,utf-8-sig,11,283,0,0,0,,,,,,,
template/test/MailSendTest.html,template,.html,current_only,688,,eae61326c365e8fa8190e87bfc5f21e642bb20ba823c3326818f8f9eebf32f37,,utf-8-sig,19,608,18,20,3,,,,,,,
template/test/SdCharaTest.html,template,.html,current_only,2526,,a110e562183720550f74ce5d77572ed5e031814b5a866ce89d2d59b7c6e3c7ca,,utf-8-sig,34,2390,26,35,0,,,,,,,
template/test/ShopReworkTest.html,template,.html,current_only,20244,,3e1cd6799a50413e9894ccd5893dae79a5ada1e8175a65454fe1f4b7695bbb8f,,utf-8-sig,479,19150,322,225,20,,,,,,,
template/test/SubSecondTest.html,template,.html,current_only,911,,260f822fefe4d1353e6a0f333249da1ea14b6c4e5d4a6f2f33a599040100b03f,,utf-8-sig,17,911,0,0,0,,,,,,,
