source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/page/arena/result/ranking_sum_bg.png	resource/image_web/page/arena/result/ranking_sum_bg.png	same_path	1263	502	a7315e7dc73a87030eb81925a8ff7d1458ffa49056456f0f36ed4c4ad3070828	da125d7f7bed15b6c386749993055fe933836e1ccea945d39572a30e8c1d16d9	428	42	428	42	True	0.045227	0.954773	0.007343	2.171819	0.089844	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/result/rankup_reward_bg.png	resource/image_web/page/arena/result/rankup_reward_bg.png	same_path	1339	2265	b9196242ab2ea0d68976153be5216169b40d82ff5f8ecfdaec2698d70a9953f4	17161fdeaa4361981fce06654edc0563a90432c1722b57f57d8cacfed3f06514	596	70	596	70	True	0.061721	0.938279	9.6e-05	2.453916	0.023438	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/result/result_streak_base.png	resource/image_web/page/arena/result/result_streak_base.png	same_path	1334	1580	811e718bab666329238d92c626c8ef0e60ed8c0b0ae03a304b68fae8486248f8	b28fb946d2dd991775b07e8e2ea07f394f32f98a3363bcbd6ab798298f4800e3	150	32	150	32	True	0.196458	0.803542	0.009792	5.192412	0.070312	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/result/simulate_date_bg.png	resource/image_web/page/arena/result/simulate_date_bg.png	same_path	2122	863	05bcb31261f20bf543a96c2d66ff25736b41d65ecf2b0756ac18648eadbb3ddd	0811c89b64e756c62599d82f6835f6cddc3df1ea57e8d6e501224fe736b2032c	332	34	332	34	True	0.0854	0.9146	0.004164	4.152271	0.039062	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/result/simulate_pt_bg.png	resource/image_web/page/arena/result/simulate_pt_bg.png	same_path	1854	1581	724b588fd641924c407cdcc1df3747454efa45a8695bb8db1885fff03aa1a52e	9d44192cae0b128e49ddedbb79ac94db716d010df6aa5ac9b5e0695ca3aead45	428	42	428	42	True	0.089786	0.910214	0.0	4.035918	0.078125	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/result/story_open_bg.png	resource/image_web/page/arena/result/story_open_bg.png	same_path	1580	2492	d36cf6395b8b6f5b926eeed959d011b1870b14a1cfc982c8c004655db2e3dbba	e5500f84234cc1f8d0a71088f298b1653534d36a03151abe0a8a15b6482287d1	628	116	628	116	True	0.055403	0.944597	0.000892	2.782011	0.058594	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/reward/reward_header.png	resource/image_web/page/arena/reward/reward_header.png	same_path	1385	1054	dcd30362f78ccfc661e11253430e44fdca133b07fd5098979f31070127fc7bcd	5a1e6cee92713cb9bee693fb61ce67c7a5bc7a89926f0ee853966dba1a4dc4cd	1024	36	1024	36	True	0.026503	0.973497	0.0	1.012564	0.007812	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/reward/reward_header_a.png	resource/image_web/page/arena/reward/reward_header_a.png	same_path	2599	1923	249ea24514e8b82fe00a14a03b88e0bcef97ede5e3891a50bc0a93e2c38ba5f1	0c5ddf66e410c996887275a783f086056e47cbc1cb5d2d066fdab46c2210c8d8	1024	36	1024	36	True	0.03323	0.96677	0.0	2.144988	0.023438	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/arena/simulate/bg_team_pt.png	resource/image_web/page/arena/simulate/bg_team_pt.png	same_path	1798	610	527bca9ca763287cc9e6bdb569bb26e313592035ea4c1403bae5eae5d63f4059	43b75abe4e6bf80dd3af2d6ee75486e6ae5461c44e7b3c5d00f9a368257f0986	284	22	284	22	True	0.107234	0.892766	0.0	5.777609	0.117188	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/btn_chara_off_a.png	resource/image_web/page/chara/btn_chara_off_a.png	same_path	3899	6585	b3857ebd364fab3ab94755359a7e01b709bf2e5030d0da0065bcbb1b3a96487d	e3a332029e0dac8e0f566cb415fef953c5e5f395dfb1665a0e71f206b9dfbaf8	94	71	94	71	True	0.082559	0.917441	0.00899	0.242517	0.023438	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/btn_chara_on_a.png	resource/image_web/page/chara/btn_chara_on_a.png	same_path	3080	4307	9ce047c911496250af6b68e7b866e433d51c1955060e02c46b1c919d4a790700	cad7ca670b927c529751755122c7740be79d4ec9b58edaf3de04720a68d07eb4	94	71	94	71	True	0.041205	0.958795	0.006892	0.120821	0.039062	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/btn_memoria_equip.png	resource/image_web/page/chara/btn_memoria_equip.png	same_path	3827	3889	4929ea68e0d97b2172235cb4d06ff609a5ed1d452ab7d6932b6daeb35c2a7298	36fb4f3c8e40b381843acbfb1264c36b65b529ce9e761e094ccd40f648d20735	84	84	84	84	True	0.074121	0.925879	0.0	0.281699	0.035156	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/btn_top_customize_a.png	resource/image_web/page/chara/btn_top_customize_a.png	same_path	25837	79896	9f446f4705740316e8cb3f5dd5e0197a868c0a8fb7e0d1895c157570ccd7d64e	1498f1bb5830d32f47f716be2cccca94cc59950941af2c0e8682ba33cf89786c	250	384	250	384	True	0.229969	0.770031	0.031979	3.110846	0.035156	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/chara/btn_top_emotion_off.png	resource/image_web/page/chara/btn_top_emotion_off.png	same_path	33155	39604	5355ad9e57327f88d4a496b9cf0d1f5cbb0ba7a35e90bc33999dceb398054aaf	6ca3d783463454610ba1ce1a887795669317bded52219a82a25a7257c2eba014	250	384	250	384	True	0.041854	0.958146	0.00425	1.097632	0.011719	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
