dependency	referenced_by	exists_product	exists_official_old	exists_upstream	classification
css/quest/PuellaHistoriaLastBattle/GroupRaid.css	js/quest/puellaHistoria/lastBattle/GroupRaid.js	True	False	True	already-in-product
css/quest/PuellaHistoriaLastBattle/SingleRaid.css	js/quest/puellaHistoria/lastBattle/SingleRaid.js	True	True	True	already-in-product
css/quest/QuestBattleSelect.css	js/quest/QuestBattleSelect.js	True	True	True	already-in-product
css/quest/QuestCommon.css	js/event/accomplish/EventAccomplishTop.js;js/event/branch/EventBranchTop.js;js/event/dailytower/EventDailyTowerTop.js;js/event/singleraid/EventSingleRaidTop.js;js/event/storyraid/EventStoryRaidTop.js;js/event/tower/EventTowerTop.js;js/event/training/EventTrainingTop.js;js/quest/CharaQuest.js;js/quest/EventQuest.js;js/quest/QuestBattleSelect.js	True	True	True	already-in-product
css/quest/SecondPartLastEnemyDetailPopup.css	js/quest/secondPartLast/EnemyDetailPopup.js	False	True	False	missing-product-official-old-only
css/quest/SecondPartLastFormation.css	js/quest/secondPartLast/Formation.js	True	True	True	already-in-product
css/quest/SupportSelect.css	js/quest/SupportSelect.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/RegularEventTop.css	js/regularEvent/RegularEventTop.js	False	True	False	missing-product-official-old-only
css/regularEvent/accomplish/RegularEventAccomplishRecovery.css	js/regularEvent/accomplish/view/RegularEventAccomplishRecoverView.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/accomplish/RegularEventAccomplishTop.css	js/regularEvent/accomplish/RegularEventAccomplishTop.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/extermination/RegularEventExterminationBattleSelect.css	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/extermination/RegularEventExterminationFormation.css	js/regularEvent/extermination/RegularEventExterminationFormation.js	True	True	True	already-in-product
css/regularEvent/extermination/RegularEventExterminationTop.css	js/regularEvent/extermination/RegularEventExterminationTop.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/groupBattle/RegularEventGroupBattleBoss.css	js/regularEvent/groupBattle/view/BossPageView.js	True	True	False	already-in-product
css/regularEvent/groupBattle/RegularEventGroupBattleRanking.css	js/regularEvent/groupBattle/view/RankingPageView.js	False	True	False	missing-product-official-old-only
css/regularEvent/groupBattle/RegularEventGroupBattleResult.css	js/regularEvent/groupBattle/view/ResultPageView.js	True	True	False	already-in-product
css/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.css	js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion.js	False	True	True	missing-product-old+upstream-exist
css/regularEvent/groupBattle/RegularEventGroupBattleTop.css	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js	True	True	True	already-in-product
css/regularEvent/groupBattle/RegularEventGroupBattleUser.css	js/regularEvent/groupBattle/view/UserPageView.js	False	True	False	missing-product-official-old-only
css/test/Backdoor.css	js/test/Backdoor.js	False	True	True	missing-product-old+upstream-exist
css/test/BackdoorEpLv.css	js/test/BackdoorEpLv.js	False	True	True	missing-product-old+upstream-exist
css/test/BackdoorQuestList.css	js/test/BackdoorQuestList.js	False	True	True	missing-product-old+upstream-exist
css/test/CameraTest.css	js/test/CameraTest.js	False	True	False	missing-product-official-old-only
css/test/CreateTestUser.css	js/test/CreateTestUser.js	False	True	False	missing-product-official-old-only
css/test/MailSendTest.css	js/test/MailSendTest.js	False	False	True	missing-product-upstream-only
css/test/NativeSandBox.css	js/test/NativeSandBox.js	False	True	True	missing-product-old+upstream-exist
css/test/SdCharaTest.css	js/test/SdCharaTest.js	True	False	True	already-in-product
css/test/SoundTest.css	js/test/SoundTest.js	False	True	True	missing-product-old+upstream-exist
css/test/StyleTemplate.css	js/test/StyleTemplate.js	False	True	True	missing-product-old+upstream-exist
css/top/Top.css	js/top/TopPage.js	True	True	True	already-in-product
css/user/BackgroundSet.css	js/user/BackgroundSet.js	False	True	True	missing-product-old+upstream-exist
css/user/EventRecord.css	js/user/EventRecord.js	True	True	True	already-in-product
css/user/MyPage.css	js/user/MyPage.js	True	True	True	already-in-product
css/util/SearchQuest.css	js/util/SearchQuest.js	False	True	True	missing-product-old+upstream-exist
js/event/EventWalpurgis/json/stamp/commentList.json	js/event/EventWalpurgis/parts/GroupRaid/Stamp.js	False	True	False	missing-product-official-old-only
js/event/EventWalpurgis/json/stamp/list.json	js/event/EventWalpurgis/parts/GroupRaid/Stamp.js	False	True	False	missing-product-official-old-only
js/event/raid/EventRaidMessage.json	js/event/raid/EventRaidTop.js	False	True	False	missing-product-official-old-only
js/quest/puellaHistoria/lastBattle/json/stamp/commentList.json	js/quest/puellaHistoria/lastBattle/parts/GroupRaid/Stamp.js	False	False	False	missing-all-captures-or-network-endpoint
js/quest/puellaHistoria/lastBattle/json/stamp/list.json	js/quest/puellaHistoria/lastBattle/parts/GroupRaid/Stamp.js	False	False	False	missing-all-captures-or-network-endpoint
json//friend/follower/list.json	js/view/follow/FollowTopView.js	False	True	False	missing-product-official-old-only
json/announcements/announcements.json	js/_common/backboneCommon.js;js/campaign/box_gacha/CampaignBoxGachaTop.js;js/event/arenaMission/EventArenaMissionTop.js;js/user/MyPage.js;js/view/tutorial/TutorialPopupView.js;js/view/user/BannerView.js	False	True	True	missing-product-old+upstream-exist
json/announcements/light_top50.json	js/user/MyPage.js	False	True	True	missing-product-old+upstream-exist
json/event_banner/event_banner.json	js/_common/backboneCommon.js;js/campaign/box_gacha/CampaignBoxGachaTop.js;js/event/arenaMission/EventArenaMissionTop.js;js/user/MyPage.js;js/view/tutorial/TutorialPopupView.js;js/view/user/BannerView.js	False	True	True	missing-product-old+upstream-exist
json/friend/user/1.json	js/follow/FollowPopup.js;js/view/follow/FollowTopListView.js;js/view/user/MyProfilePopup.js	False	True	False	missing-product-official-old-only
json/money/shop/list.json	js/view/user/GlobalMenuView.js	False	True	False	missing-product-official-old-only
json/page/EventDungeonTop.json	js/test/BackdoorList.js	False	True	False	missing-product-official-old-only
json/page/ResumeBackground.json	js/view/user/GlobalMenuView.js	False	True	False	missing-product-official-old-only
json/totalForcesRanking/getRanking.json	js/view/user/MyProfilePopup.js	False	False	False	missing-all-captures-or-network-endpoint
json/userPieceArchive/save.json	js/view/memoria/PieceArchiveView.js;js/view/memoria/UserMemoriaListView.js	False	False	False	missing-all-captures-or-network-endpoint
resource/image_web/_json/help.json	js/view/etc/HelpPopupView.js;js/view/etc/HelpView.js	False	True	True	missing-product-old+upstream-exist
resource/image_web/debug/selectedBranch.json	js/top/TopPage.js	False	True	True	missing-product-old+upstream-exist
template/arena/ArenaConfirm.html	js/event/arenaranking/view/EventArenaConfirmView.js;js/view/arena/ArenaConfirmView.js	True	True	False	already-in-product
template/arena/ArenaCurePop.html	js/view/arena/ArenaBpCureView.js	False	True	False	missing-product-official-old-only
template/arena/ArenaFreeRank.html	js/view/arena/ArenaFreeRankView.js	True	True	False	already-in-product
template/arena/ArenaHistory.html	js/view/arena/ArenaHistoryView.js	True	True	False	already-in-product
template/arena/ArenaRanking.html	js/event/arenaranking/view/EventArenaRankingView.js;js/view/arena/ArenaRankingView.js	True	True	False	already-in-product
template/arena/ArenaResult.html	js/event/arenaranking/view/EventArenaResultView.js;js/view/arena/ArenaResultView.js	True	True	False	already-in-product
template/arena/ArenaSimulate.html	js/view/arena/ArenaSimulateView.js	True	True	False	already-in-product
template/arena/ArenaTop.html	js/view/arena/ArenaTopView.js	False	True	False	missing-product-official-old-only
template/base/GlobalMenu.html	js/view/user/GlobalMenuView.js	True	True	True	already-in-product
template/base/MypageBanner.html	js/view/user/BannerView.js	False	True	False	missing-product-official-old-only
template/camera/CameraTop.html	js/camera/CameraTop.js	True	True	True	already-in-product
template/campaign/box_gacha/CampaignBoxGachaTop.html	js/campaign/box_gacha/CampaignBoxGachaTop.js	True	True	True	already-in-product
template/campaign/quiz/CampaignQuizTop.html	js/campaign/quiz/CampaignQuizTop.js	True	False	False	already-in-product
template/campaign/story_mission/CampaignStoryMission.html	js/campaign/story_mission/CampaignStoryMission.js	True	True	True	already-in-product
template/campaign/summer_mission/CampaignSummerMissionTop.html	js/campaign/summer_mission/CampaignSummerMissionTopView.js	True	False	False	already-in-product
template/chara/CharaBulkCustomizePopup.html	js/chara/CharaCustomize.js	True	True	True	already-in-product
template/chara/CharaCompose.html	js/chara/CharaCompose.js	True	True	True	already-in-product
template/chara/CharaComposeAttribute/ComposeAttributeItem.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	False	True	False	missing-product-official-old-only
template/chara/CharaComposeAttribute/ComposeAttributeList.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	True	True	False	already-in-product
template/chara/CharaComposeAttribute/groupWrap.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	False	True	False	missing-product-official-old-only
template/chara/CharaComposeAttribute/popupAllItemConfirm.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	True	True	False	already-in-product
template/chara/CharaComposeAttribute/popupCheckMaterial.html	js/chara/CharaComposeAttribute/popupCheckMaterial.js	False	True	False	missing-product-official-old-only
template/chara/CharaComposeAttribute/popupItemConfirm.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	True	True	False	already-in-product
template/chara/CharaComposeAttribute/popupUseItem.html	js/chara/CharaComposeAttribute/ComposeAttributeList.js	False	True	False	missing-product-official-old-only
template/chara/CharaComposeMagia.html	js/chara/CharaComposeMagia.js	True	True	True	already-in-product
template/chara/CharaCustomize.html	js/chara/CharaCustomize.js	True	True	True	already-in-product
template/chara/CharaCustomizePopup.html	js/chara/CharaCustomize.js	True	True	True	already-in-product
template/chara/CharaDetail.html	js/view/chara/CharaDetailView.js	True	True	False	already-in-product
template/chara/CharaEnhancementMaterialPopup.html	js/chara/CharaEnhancementTree.js	True	True	True	already-in-product
template/chara/CharaEnhancementTree.html	js/chara/CharaEnhancementTree.js	True	True	True	already-in-product
template/chara/CharaEquip.html	js/chara/CharaEquip.js	False	True	True	missing-product-old+upstream-exist
template/chara/CharaGiftParts.html	js/chara/CharaCustomize.js	False	True	True	missing-product-old+upstream-exist
template/chara/CharaLimitBreakParts.html	js/chara/CharaEquip.js	True	True	True	already-in-product
template/chara/CharaList.html	js/camera/CameraTop.js;js/event/aprilfool2018/EventAprilFoolTop.js;js/test/CameraTest.js	False	True	True	missing-product-old+upstream-exist
template/chara/CharaListParts.html	js/camera/CameraTop.js;js/event/aprilfool2018/EventAprilFoolTop.js;js/test/CameraTest.js	False	True	True	missing-product-old+upstream-exist
template/chara/CharaMagiaComposePopup.html	js/chara/CharaComposeMagia.js	True	True	True	already-in-product
template/chara/CharaMagiaGiftParts.html	js/chara/CharaComposeMagia.js	False	True	True	missing-product-old+upstream-exist
template/chara/CharaTop.html	js/chara/CharaTop.js	False	True	True	missing-product-old+upstream-exist
template/collection/CharaCollectionDetail.html	js/view/collection/CollectionDetailView.js	False	True	False	missing-product-official-old-only
template/collection/MagiRepo.html	js/collection/MagiRepo.js	True	True	True	already-in-product
template/collection/MagiRepoDetail.html	js/collection/MagiRepoDetail.js	False	True	True	missing-product-old+upstream-exist
template/collection/StoryCollection.html	js/collection/StoryCollection.js	True	True	True	already-in-product
template/config/ConfigTop.html	js/view/config/ConfigTopView.js	True	True	False	already-in-product
template/config/deleteUserData/popupComplete.html	js/config/DeleteUserData.js	False	True	False	missing-product-official-old-only
template/config/deleteUserData/popupConfirm.html	js/config/DeleteUserData.js	False	True	False	missing-product-official-old-only
template/config/deleteUserData/popupError.html	js/config/DeleteUserData.js	False	True	False	missing-product-official-old-only
