module_id,old_module_path,totentanz_module_path,status
Help,js/etc/Help,js/etc/Help,same
HelpPopup,js/view/etc/HelpPopupView,js/view/etc/HelpPopupView,same
ItemListTop,js/item/ItemListTop,js/item/ItemListTop,same
LoginBonus,js/user/LoginBonus,js/user/LoginBonus,same
MagiRepo,js/collection/MagiRepo,js/collection/MagiRepo,same
MagiRepoDetail,js/collection/MagiRepoDetail,js/collection/MagiRepoDetail,same
MainQuest,js/quest/MainQuest,js/quest/MainQuest,same
MainQuestBranch,js/quest/MainQuestBranch,js/quest/MainQuestBranch,same
MainQuestSingleRaid,js/quest/MainQuestSingleRaid,js/quest/MainQuestSingleRaid,same
Maintenance,js/top/Maintenance,js/top/Maintenance,same
MemoriaCollection,js/collection/MemoriaCollection,js/collection/MemoriaCollection,same
MemoriaCompose,js/memoria/MemoriaCompose,js/memoria/MemoriaCompose,same
MemoriaComposeAnimation,js/memoria/MemoriaComposeAnimation,js/memoria/MemoriaComposeAnimation,same
MemoriaComposeResult,js/memoria/MemoriaComposeResult,js/memoria/MemoriaComposeResult,same
MemoriaEquip,js/memoria/MemoriaEquip,js/memoria/MemoriaEquip,same
MemoriaList,js/memoria/UserMemoriaList,js/memoria/UserMemoriaList,same
MemoriaSetEquip,js/memoria/MemoriaSetEquip,js/memoria/MemoriaSetEquip,same
MemoriaSetList,js/memoria/MemoriaSetList,js/memoria/MemoriaSetList,same
MemoriaTop,js/memoria/MemoriaTop,js/memoria/MemoriaTop,same
MissionTop,js/mission/MissionTop,js/mission/MissionTop,same
MyPage,js/user/MyPage,js/user/MyPage,same
NewVersionRecommend,js/top/NewVersionRecommend,js/top/NewVersionRecommend,same
NewYearLogin,,js/campaign/newyear_login/NewYearLogin,totentanz_only
PanelMissionTop,js/mission/PanelMissionTop,js/mission/PanelMissionTop,same
PieceArchive,js/memoria/PieceArchive,js/memoria/PieceArchive,same
ProfileFormationSupport,js/formation/ProfileFormationSupport,js/formation/ProfileFormationSupport,same
PuellaHistoriaGroupRaidQuestResultMainBoss,,js/quest/puellaHistoria/lastBattle/QuestResultMainBoss,totentanz_only
PuellaHistoriaGroupRaidQuestResultSubBoss,,js/quest/puellaHistoria/lastBattle/QuestResultSubBoss,totentanz_only
PuellaHistoriaRouter,,js/quest/puellaHistoria/lastBattle/Router,totentanz_only
PuellaHistoriaSingleRaid,,js/quest/puellaHistoria/lastBattle/SingleRaid,totentanz_only
PuellaHistoriaTop,,js/quest/puellaHistoria/Top,totentanz_only
QuestBackground,js/quest/QuestBackground,js/quest/QuestBackground,same
QuestBattleSelect,js/quest/QuestBattleSelect,js/quest/QuestBattleSelect,same
QuestResult,js/quest/QuestResult,js/quest/QuestResult,same
QuestStoryOnly,,js/quest/QuestStoryOnly,totentanz_only
QuestUtil,js/quest/QuestUtil,js/quest/QuestUtil,same
RegularEventAccomplishTop,,js/regularEvent/accomplish/RegularEventAccomplishTop,totentanz_only
RegularEventArenaRankMatchHistory,,js/event/EventArenaRankMatch/History,totentanz_only
RegularEventArenaRankMatchRedirectTop,,js/event/EventArenaRankMatch/RedirectTop,totentanz_only
RegularEventArenaRankMatchResult,,js/event/EventArenaRankMatch/Result,totentanz_only
RegularEventArenaRankMatchTop,,js/event/EventArenaRankMatch/Top,totentanz_only
RegularEventExterminationBattleConfirm,,js/regularEvent/extermination/RegularEventExterminationBattleConfirm,totentanz_only
RegularEventExterminationBattleSelect,,js/regularEvent/extermination/RegularEventExterminationBattleSelect,totentanz_only
RegularEventExterminationFormation,,js/regularEvent/extermination/RegularEventExterminationFormation,totentanz_only
RegularEventExterminationTop,,js/regularEvent/extermination/RegularEventExterminationTop,totentanz_only
RegularEventGroupBattleSelectUnion,js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion,js/regularEvent/groupBattle/RegularEventGroupBattleSelectUnion,same
RegularEventGroupBattleTop,js/regularEvent/groupBattle/RegularEventGroupBattleTop,js/regularEvent/groupBattle/RegularEventGroupBattleTop,same
RegularEventTop,js/regularEvent/RegularEventTop,,old_only
ResumeBackground,js/user/ResumeBackground,js/user/ResumeBackground,same
Scene0BattleSelect,,js/quest/scene0/BattleSelect,totentanz_only
Scene0SideStorySelect,,js/quest/scene0/SideStorySelect,totentanz_only
Scene0StorySelectAfterFilm1,,js/quest/scene0/StorySelectAfterFilm1,totentanz_only
Scene0StorySelectBeforeFilm1,,js/quest/scene0/StorySelectBeforeFilm1,totentanz_only
Scene0Top,,js/quest/scene0/Top,totentanz_only
SearchQuest,js/util/SearchQuest,js/util/SearchQuest,same
SecondPartLastBattleConfirm,,js/quest/secondPartLast/BattleConfirm,totentanz_only
SecondPartLastBoss,,js/quest/secondPartLast/Boss,totentanz_only
SecondPartLastFormation,,js/quest/secondPartLast/Formation,totentanz_only
SecondPartLastRouter,,js/quest/secondPartLast/Router,totentanz_only
SecondPartLastTop,,js/quest/secondPartLast/Top,totentanz_only
SelectableGachaCharaSelect,js/gacha/SelectableGachaCharaSelect,js/gacha/SelectableGachaCharaSelect,same
SelectableGachaPieceSelect,js/gacha/SelectableGachaPieceSelect,js/gacha/SelectableGachaPieceSelect,same
ShopTop,js/shop/ShopTop,js/shop/ShopTop,same
StoryCollection,js/collection/StoryCollection,js/collection/StoryCollection,same
SubQuest,js/quest/SubQuest,js/quest/SubQuest,same
SupportSelect,js/quest/SupportSelect,js/quest/SupportSelect,same
Terms,js/terms/Terms,js/terms/Terms,same
TopPage,js/top/TopPage,js/top/TopPage,same
TutorialUtil,js/util/TutorialUtil,js/util/TutorialUtil,same
ajaxControl,js/_common/ajaxControl,js/_common/ajaxControl,same
apiPathMapping,js/system/apiPathMapping,js/system/apiPathMapping,same
bRoutes,js/_common/backdoorRoutes,js/_common/backdoorRoutes,same
backbone,js/libs/backbone-min,js/libs/backbone-min,same
backboneCommon,js/_common/backboneCommon,js/_common/backboneCommon,same
backboneCustom,js/_common/backboneCustom,js/_common/backboneCustom,same
cardUtil,js/util/CardUtil,js/util/CardUtil,same
command,js/_common/nativeCommand,js/_common/nativeCommand,same
commonEvent,js/_common/commonEvent,js/_common/commonEvent,same
eRoutes,js/_common/eventRoutes,js/_common/eventRoutes,same
isBrowser,js/_common/isBrowser,js/_common/isBrowser,same
iscroll,js/libs/iscroll5,js/libs/iscroll5,same
iscroll_stage,js/libs/iscroll5_stage,,old_only
jquery,js/libs/jquery-2.2.3.min,js/libs/jquery-3.7.1.min,changed
memoriaSortUtil,js/util/MemoriaSortUtil,js/util/MemoriaSortUtil,same
memoriaUtil,js/util/MemoriaUtil,js/util/MemoriaUtil,same
releaseInfo,js/system/releaseInfo,js/system/releaseInfo,same
replacement,js/system/replacement,js/system/replacement,same
router,js/_common/router,js/_common/router,same
routes,js/_common/routes,js/_common/routes,same
searchPathMapping,js/system/searchPathMapping,js/system/searchPathMapping,same
sortUtil,js/util/SortUtil,js/util/SortUtil,same
text,js/libs/text,js/libs/text,same
underscore,js/libs/underscore-min,js/libs/underscore-min,same
